X1,EDAT,SEXE,ANTIGUETAT,ESCOLA,DEPARTAMENT,TIPUS,ALTRAUNI,REDUCCIO,DOCTOR,ANYTESI,RAOTESI,ACREDITACIO,ANYACREDITACIO,FENTTESI,RAOFENTTESI,DISPOSATTESI,CARRERA,ASSOCIAT,FALSASSOCIAT,EXPECTATIVES,GESTIO,RENOVACIO,X2,BONTRACTE,X3,FORMACIO,SATISFET,ASSEMBLEES,MOBILITZACIONS
"44130,59703",De 45 a 54 anys,Home,4 - Entre 11 i 20 anys,ETSECCPB,751/DECA,Tipus T2,0,2 - Si,2 - Si,2011,1- Realització personal,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,0 - No,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,4,4,0 - No,2 - Si
"44130,59784",De 45 a 54 anys,Home,4 - Entre 11 i 20 anys,ETSECCPB,751/DECA,Tipus T2,0,2 - Si,2 - Si,2011,1- Realització personal,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,0 - No,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,4,4,0 - No,2 - Si
"44130,59984",De 25 a 34 anys,Home,1 - Menys de 2 anys,ETSAV,735/PA,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,0 - No,2 - Si,1 - No contesto,2 - Depèn,1 - Grau,1 - No,,2,,3,3,2 - Si,2 - Si
"44130,60194",De 55 a 60 anys,Home,3 - Entre 6 i 10 anys,"ESEIAAT, EEBE",707/ESAII,Tipus T1,0,1 - No,2 - Si,2015,2 - Carrera profesional,Lector/a,2017,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,2 - Depèn,0 - No contesto,1 - No,,3,,2,2,0 - No,2 - Si
"44130,60509",De 35 a 44 anys,Dona,3 - Entre 6 i 10 anys,ESEIAAT,732/OE,Tipus T1,3,2 - Si,2 - Si,2012,4 - Vull fer carrera acadèmica,Contractat/da doctor/a,2014,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,2 - Màster,1 - No,,2,,1,1,0 - No,2 - Si
"44130,60702",Més de 60 anys,Home,3 - Entre 6 i 10 anys,"ESEIAAT, ETSEIB, ETSECCPB, EPSEM",758/EPC,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,1 - Personal,1 - No contesto,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,1,1,0 - No,2 - Si
"44130,61156",De 35 a 44 anys,Dona,3 - Entre 6 i 10 anys,EPSEVG,702/CEM,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,3,3,1 - No contesto,2 - Si
"44130,61227",De 45 a 54 anys,Dona,1 - Menys de 2 anys,ETSECCPB,751/DECA,No ho sé,1,1 - No,2 - Si,2001,2 - Carrera profesional,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,2,,2,1,1 - No contesto,1 - No contesto
"44130,61408",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ESEIAAT,713/EQ,Tipus T1,0,1 - No,2 - Si,2017,1- Realització personal,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,0 - No,3 - Si,0 - No contesto,1 - No,,4,,3,3,2 - Si,1 - No contesto
"44130,61561",De 35 a 44 anys,Dona,1 - Menys de 2 anys,ESAB,745/EAB,No ho sé,0,2 - Si,2 - Si,2019,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,0 - No,3 - Si,0 - No contesto,1 - No,,4,,2,3,1 - No contesto,2 - Si
